"family","scientificName","scientificNameAuthorship","x"
"Asteraceae","Wedelia claussenii","Sch.Bip.",13
"Pucciniaceae","Puccinia opulenta","Speg.",13
"Opegraphaceae","Opegrapha cf. arengae","Vain",13
"Graphidaceae","Sarcographa labyrinthica","(Ach.) Müll. Arg. ",12
"Polyporaceae","Ganoderma chalceum","(Cooke) Steyaert",12
"Melastomataceae","Pleroma trichopoda","(DC.) Baill.",12
"Mycosyringaceae","Mycosyrinx cissi","(DC.) Beck",12
"Myrtaceae","Myrceugenia exsucca","(DC.) O. Berg",12
"MYRTACEAE","Myrceugenia exsucca","(DC.) O. Berg",12
"Uropyxidaceae","Prospodium amphilophii","(Dietel & Holw.) Arthur",12
"Ganodermataceae","Ganoderma australe","(Fr.) Pat.",12
"Sematophyllaceae","Sematophyllum cyparissoides","(Hornsch.) R.S. Williams",12
"Polyporaceae","Flabellophora obovata","(Jungh.) Núñez & Ryvarden",12
"Thelypteridaceae","Christella parasitica","(L.) Lév.",12
"Thelypteridaceae","Meniscium reticulatum","(L.) Sw.",12
"Asteraceae","Vernonia squarrosa","(Less.) Less.",12
"Coleosporiaceae","Coleosporium senecionis","(Pers.) Fr.",12
"Dicranellaceae","Microdus exiguus","(Schwägr.) Besch. ex Paris",12
"Brachytheciaceae","Trichosteleum ambiguum","(Schwägr.) Paris",12
"Dicranellaceae","Dicranella exigua","(Schwägr.) Spruce",12
"Polyporaceae","Hexagonia hydnoides","(Sw.:Fr.) M.Fidalgo",12
"Poaceae","Sporobolus piliferus","(Trin.) Kunth",12
"Fabaceae","Swartzia sprucei","Benth.",12
"Polyporaceae","Polyporus nivosus","Berk.",12
"Asteraceae","Gochnatia polymorpha polymorpha","Cabrera",12
"Marasmiaceae","Marasmius","Fr.",12
"Uropyxidaceae","Prospodium impolitum","H.S. Jacks. & Holw.",12
"Pucciniaceae","Aecidium desmodii","Henn.",12
"Hapalidiaceae","Hapalidiaceae","J.E.Gray",12
"Callicostaceae","Lepidopilum subulatum","Mitt.",12
"Neckeraceae","Porotrichum denticulatum","Mitt.",12
"Porinaceae","Porina imitatrix","Müll. Arg.",12
"Orthotrichaceae","Schlotheimia araucarieti","Müll.Hal.",12
"Melastomataceae","Microlicia passerina","Naudin",12
"Chrysobalanaceae","Atuna","Raf.",12
"Aulographaceae","Aulographum tropicale","Rehm",12
"Cleomaceae","Cleome houtteana","Schltdl.",12
"Fomitopsidaceae","Daedalea elegans","Spreng.",12
"Fabaceae","Entada abyssinica","Steud. ex A.Rich.",12
"Graphidaceae","Ocellularia bahiana","(Ach.) Frisch",11
"Graphidaceae","Glyphis scyphulifera","(Ach.) Staiger ",11
"Tectariaceae","Triplophyllum protensum","(Afzel. ex Sw.) Holttum",11
"Polyporaceae","Porogramme ravenalae","(Berk. & Broome) Pat.",11
"Omphalotaceae","Caripia montagnei","(Berk.) Kuntze",11
"Polyporaceae","Dichomitus cavernulosus","(Berk.) Masuka & Ryvarden",11
"Meripilaceae","Rigidoporus vinctus","(Berk.) Ryvarden",11
"Pteridaceae","Ormopteris flavescens","(Fée) Barbará",11
"Pteridophyta","Ormopteris flavescens","(Fée) Barbará",11
"Pteridophyta","ormopteris flavescens (fée) barbará","(Fée) Barbará",11
"Asteraceae","Pectis affinis","(Gardn.) Sch.Bip.",11
"Hypnaceae","Mittenothamnium langsdorffii","(Hook.) Cardot",11
"CLADONIACEAE","Cladonia fimbriata","(L.) Fr.",11
"Sapindaceae","Allophylus cobbe","(L.) Raeusch",11
"Sematophyllaceae","Trichosteleum inundatum","(Mitt.) A.Jaeger",11
"Brachytheciaceae","Meteoriopsis remotifolia","(Müll. Hal.) Broth.",11
"Graphidaceae","Stegobolus anamorphus","(Nyl. ex Vain.) Frisch & Kalb",11
"Leucobryaceae","Campylopus pyriformis","(Schultz) Brid.",11
"Ptychomitriaceae","Ptychomitrium fluviatile","Broth.",11
"Melastomataceae","Miconia sylvatica","Cogn.",11
"Myrtaceae","Eugenia maritima","DC.",11
"Melastomataceae","Microlicia alba","DC.",11
"Pucciniaceae","Puccinia henningsii","Dietel",11
"Mycosphaerellaceae","Septoria selenophomoides","E.K. Cash & A.M.J. Watson",11
"Batrachospermaceae","Batrachospermaceae","E.M.Fries",11
"Clusiaceae","Clusia spathulifolia","Engl.",11
"Asteraceae","Mikania salviaefolia","Gardner",11
"Asteraceae","Vernonia hoveifolia","Gardner",11
"Botryosphaeriaceae","Diplodia cacaoicola","Henn.",11
"Eriocaulaceae","Syngonanthus giuliettiae","L.R.Parra",11
"Blechnaceae","Blechnum glandulosum","Link",11
"Porinaceae","Porina curtula","Malme",11
"Polyporaceae","Polyporus tricholoma","Mont.",11
"Andreaeaceae","Andreaea spurioalpina","Müll. Hal.",11
"Ramalinaceae","Crocynia pyxinoides","Nyl.",11
"Opegraphaceae","Opegrapha subvulgata","Nyl.",11
"Myrtaceae","Eugenia ovalis","O.Berg",11
"Combretaceae","Combretum multiflorum","Pamp.",11
"Myristicaceae","Virola lieneana","Paula & Heringer",11
"Pyrenulaceae","Pyrenula microtheca","R.C. Harris",11
"Graphidaceae","Carbacanthographis stictica","Staiger & Kalb",11
"Coleosporiaceae","Coleosporium elephantopodis","Thüm.",11
"Graphidaceae","Phaeographis tortuosa","(Ach.) Müll. Arg.",10
"Graphidaceae","Sarcographa tricosa","(Ach.) Müll. Arg.",10
"Pteridophyta","Triplophyllum protensum","(Afzel. ex Sw.) Holttum",10
"Dryopteridaceae","triplophyllum protensum (afzel. ex sw.) holttum","(Afzel. ex Sw.) Holttum",10
"Orchidaceae","Habenaria obtusata","(Banks ex Pursh) Richardson",10
"Fabaceae","Mimosa dolens subsp. rigida","(Benth.) Barneby",10
"Graphidaceae","Chapsa astroidea","(Berk. & Broome) M. Cáceres & Lücking",10
"Podostemaceae","Apinagia membranacea","(Bong.) Tul.",10
"Arcyriaceae","Arcyria cinerea","(Bulliard) Persoon",10
"Pteridophyta","Lygodium polymorphum","(Cav.) Kunth",10
"Melastomataceae","Pleroma fothergillae","(DC.) Triana",10
"Pertusariaceae","Pertusaria quassiae","(Fée) Nyl.",10
"Myrtaceae","Myrceugenia correifolia","(Hook. & Arn.) Berg",10
"MYRTACEAE","Myrceugenia correifolia","(Hook. & Arn.) Berg",10
"Fabaceae","Cathormion altissimum","(Hook.f.) Hutch. & Dandy",10
"Piperaceae","Piper umbellata","(L.) Miq.",10
"Sapindaceae","Allophylus cobbe","(L.) Raeusch.",10
"Caliciaceae","Hafellia bahiana","(Malme) Sheard",10
"Sematophyllaceae","Trichosteleum inundatum","(Mitt.) A. Jaeger",10
"Myrtaceae","Amomyrtus luma","(Molina) D.Legrand & Kausel",10
"MYRTACEAE","Amomyrtus luma","(Molina) D.Legrand & Kausel",10
"Auriculariaceae","Auricularia polytricha","(Mont.) Sacc.",10
"Melastomataceae","Pleroma barbigera","(Naudin) Baill.",10
"Apocynaceae","Orthosia scoparium","(Nutt.) Vail",10
"Ramalinaceae","Phyllopsora pyxinoides","(Nyl.) Kistenich, Timdal, Bendiksby & S. Ekman",10
"Graphidaceae","Ocellularia auberianoides","(Nyl.) Müll. Arg.",10
"Trypetheliaceae","Pseudopyrenula subnudata","(Nyl.) RC Harris",10
"Ceratiomyxidae","Ceratiomyxa fruticulosa","(O.F. Müll.) T. Macbr.",10
"Botryosphaeriaceae","Diplodia theobromae","(Pat.) W. Nowell",10
"Polyporaceae","Earliella scabrosa","(Pers.) Gilb. & Ryvarden",10
"Melastomataceae","Pleroma clavata","(Pers.) Wurdack",10
"Graphidaceae","Carbacanthographis chionophora","(Redinger) Staiger & Kalb",10
"Cactaceae","Rhipsalis rhombea","(Salm-Dyck) Pfeiff.",10
