"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"PARQUE ESTADUAL MATA DE DUAS LAGOAS",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL MATA DO ZUMBI",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL SERRA DOÁREAL",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE MUNICIPAL NATURAL SERRA DO MARACUJÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NACIONAL CATIMBAU",2,0,0,1,2,2,2,2,1,0
"PARQUE NACIONAL MARINHO DE FERNANDO DE NORONHA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL FORTE DE TAMANDARE",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL PROFESSOR JOÃO VASCONCELOS SOBRINHO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE CABECEIRAS DO CAPIBARIBE",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE ENGENHO MORENINHO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MATA DA USINA SÃO JOSÉ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MATA DE BOM JARDIM",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MATA DE CARAÚNA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MATA DE JAGUARIBE",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MATA DE MIRITIBA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MATA DE MUSSAÍBA",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MATA DE SANTA CRUZ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MATA DE TAPACURÁ",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MATA DO AMPARO",0,0,0,0,NA,NA,NA,NA,NA,NA
"REFÚGIO DE VIDA SILVESTRE MATA DO BITURY",0,0,0,0,NA,NA,NA,NA,NA,NA
