"family","scientificName","scientificNameAuthorship","x"
"Hookeriaceae","Crossomitrium patrisiae","(Brid.) Müll. Hal.",49
"Caulerpaceae","Caulerpa prolifera","(Forsskål) Lamouroux",49
"Phyllachoraceae","Catacauma huberi","(Henn.) Theiss. & Syd.",49
"Hymenochaetaceae","Phylloporia spathulata","(Hook.) Ryvarden",49
"Menispermaceae","Orthomene hirsuta","(Krukoff & Moldenke) Barneby & Krukoff",49
"Lejeuneaceae","Cheilolejeunea trifaria","(Reinw., Blume & Nees) Mizut.",49
"Lejeuneaceae","Thysananthus amazonicus","(Spruce) Schiffn.",49
"Lejeuneaceae","Archilejeunea crispistipula","(Spruce) Steph.",49
"Calypogeiaceae","Calypogeia amazonica","(Spruce) Steph.",49
"Schizothyriaceae","Spegazziniella fimbriata","Bat.",49
"Radulaceae","Radula javanica","Gottsche",49
"Callicostaceae","Callicostella pallida","(Hornsch.) Spruce",48
"Leguminosae-Caes","Campsiandra comosa","Benth.",48
"Calymperaceae","Octoblepharum stramineum","Mitt.",48
"Lepidoziaceae","Arachniopsis pecten","Spruce",48
"Codiaceae","Codium","Stackhouse",48
"Dictyotaceae","Dictyopteris plagiogramma","(Montagne) Vickers",47
"Mycenaceae","Mycena","(Pers.) Roussel",47
"Physalacriaceae","Oudemansiella platensis","(Speg.) Speg.",47
"Sphagnaceae","Sphagnum amazonicum","H.A. Crum & W.R. Buck",47
"Polystomellaceae","Dothidella ulei","Henn.",47
"Strigulaceae","Strigula nemathora","Mont.",47
"Dictyotaceae","Lobophora variegata","(J.V. Lamour.) Womersley ex E.C. Oliveira",46
"DICTYOTACEAE","Lobophora variegata","(J.V. Lamour.) Womersley ex E.C. Oliveira",46
"Dictyotaceae","Lobophora variegata","(Lamouroux) Womersley",46
"Lejeuneaceae","Cyclolejeunea peruviana","(Lehm. & Lindenb.) A. Evans",46
"Leucobryaceae","Campylopus trachyblepharon","(Müll. Hal.) Mitt.",46
"Lejeuneaceae","Pycnolejeunea contigua","(Nees) Grolle",46
"Anadyomenaceae","Anadyomene stellata","(Wulfen) C.Agardh",46
"Plenotrichaceae","Plectopycnis coccolobae","Bat. & A.F. Vital",46
"Micropeltidaceae","Micropeltis rionegrensis","Bat. & O.M. Fonseca",46
"Geastraceae","Geastrum entomophilum","Fazolino, Calonge & Baseia",46
"Calymperaceae","Syrrhopodon ligulatus","Mont.",46
"Melastomataceae","Acisanthera quadrata","Pers.",46
"Batrachospermaceae","Batrachospermum","Roth",46
"Vizellaceae","Vizella gomphispora","(Berk. & Broome) S. Hughes",45
"Lejeuneaceae","Cheilolejeunea aneogyna","(Spruce) A. Evans",45
"Lejeuneaceae","Odontolejeunea lunulata","(Weber) V.Schiffner",45
"Leucobryaceae","Octoblepharum albidum","Hedw.",45
"Tectariaceae","Ctenitis protensa","(Afzel. ex Sw.) Ching",44
"Lejeuneaceae","Lopholejeunea subfusca","(Nees) Schiffn.",44
"Lejeuneaceae","Drepanolejeunea palmifolia","(Nees) Steph.",44
"Calymperaceae","Syrrhopodon cryptocarpus","Dozy & Molk.",44
"Trebouxiaceae","Trebouxiaceae","Friedl",44
"Gelidiaceae","Gelidium","J.V.F. Lamouroux",44
"Orthotrichaceae","Macromitrium pellucidum","Mitt.",44
"Udoteaceae","Udotea flabellum","(Ellis & Solander) Lamouroux",43
"Udoteaceae","Udotea flabellum","(J. Ellis & D. Solander) Howe",43
"Ophiocordycipitaceae","Ophiocordyceps camponoti-atricipis","Araújo, H.C.Evans & D.P.Hughes",43
"Peltasteraceae","Peltaster fusisporus","Bat. & Cavalc.",43
"Clusiaceae","Clusia gaudichaudii","Cambess.",43
"Sphagnaceae","Sphagnum perichaetiale","Hampe",43
"Sphagnaceae","Sphagnum","L.",43
"Lepidoziaceae","Arachniopsis","Spruce",43
"Halimedaceae","Halimeda tuna","(Ellis & Solander) Lamouroux",42
"Halimedaceae","Halimeda incrassata","(Ellis) Lamour.",42
"Polyporaceae","Trametes elegans","(Fr.) Pat.",42
"Lepidoziaceae","Bazzania breuteliana","(Lindenb. & Gottsche) Trevis.",42
"Omphalotaceae","Caripia montagnei","(M.J.Berkeley) Kuntze",42
"Lejeuneaceae","Ceratolejeunea cubensis","(Mont.) V.Schiffner",42
"Polyporaceae","Earliella scabrosa","(Pers.) Gilbertson & Ryvarden",42
"Siphonocladaceae","Chamaedoris peniculum","(Solander) Lamouroux",42
"Gracilariaceae","Gracilaria","Greville",42
"Caulerpaceae","Caulerpa lanuginosa","J.Agardh",42
"Polyporaceae","Pycnoporus sanguineus","(L. ex Fr. & Hök) Murrill",41
"Polyporaceae","Lentinus crinitus","(L.) Fr.",41
"Lejeuneaceae","Crossotolejeunea boryana","(Mont.) Schiffn.",41
"Callicostaceae","Callicostella","(Müll. Hal.) Mitt.",41
"Moraceae","Brosimum amazonicum","(Poepp. & Endl.) E.M.Gardner & Zerega",41
"Lejeuneaceae","Odontolejeunea","(Spruce) Schiffn.",41
"Prionodontaceae","Prionodon densus","(Sw. ex Hedw.) Müll. Hal.",41
"Gomphillaceae","Psathyromyces rosacearum","Bat. & Peres",41
"Bryaceae","Bryum argenteum","Hedw.",41
"Leucobryaceae","Octoblepharum pulvinatum","(Dozy & Molk.) Mitt.",40
"Polyporaceae","Ganoderma australe","(Fr.) Pat.",40
"Lepidoziaceae","Zoopsis","(Hook. f. & Taylor) Gottsche, Lindenb. & Nees",40
"Lejeuneaceae","Leptolejeunea elliptica","(Lehm. & Lindenb.) V.Schiffner",40
"Lepidoziaceae","Bazzania hookeri","(Lindenb.) Trevis.",40
"Hypoxylaceae","Phylacia poculiformis","(Mont.) Mont.",40
"Malvaceae","Spirotheca rosea","(Seem.) P.E.Gibbs & W.S.Alverson",40
"Micropeltidaceae","Micropeltis duoseptata","Bat.",40
"Chlamydomonadaceae","Chlamydomonadaceae","F.Stein",40
"Rubiaceae","Indet.","Juss.",40
"Sematophyllaceae","Sematophyllum caespitosum","Mitt.",40
"Pylaisiadelphaceae","Taxithelium","Spruce ex Mitt.",40
"Lecythidaceae","Scottmoria ovalifolia","(DC.) Cornujo",39
"Dictyotaceae","Zonaria tournefortii","(J.V. Lamour.) Mont.",39
"DICTYOTACEAE","Zonaria tournefortii","(J.V. Lamour.) Mont.",39
"Asteraceae","Conocliniopsis grossedentata","(Mart. ex Colla) D.J.N.Hind",39
"Anadyomenaceae","Anadyomene saldanhae","A.B.Joly & E.C.Oliveira",39
"Melastomataceae","Acisanthera quadrata","Juss. ex Poir.",39
"Plagiochilaceae","Plagiochila rutilans","Lindenb.",39
"Radulaceae","Radula amazonica","Spruce",39
"Leucomiaceae","Leucomium lignicola","Spruce ex Mitt.",39
"Orthotrichaceae","Schlotheimia jamesonii","(Arn.) Brid.",38
"Bartramiaceae","Breutelia subtomentosa","(Hampe) A. Jaeger",38
"Callicostaceae","Callicostella depressa","(Hedw.) A. Jaeger",38
"Pottiaceae","Tortella humilis","(Hedw.) Jenn.",38
"Leucobryaceae","Campylopus arctocarpus","(Hornsch.) Mitt.",38
"Ochnaceae","Ouratea candollei","(Planch.) Tiegh.",38
"Buriadiaceae","Coricladus","A. Jasper, F. Ricardi-Branco & M. Guerra-Sommer",38
"Cladophoraceae","Cladophora","Kützing",38
"Desmidiaceae","Staurastrum","Meyen ex Ralfs",38
"Frullaniaceae","Frullania brasiliensis","Raddi",38
"Calymperaceae","Calymperes afzelii","Sw.",38
"Schizothyriaceae","Microthyriella anthuriifolii","Bat. & Nascim.",37
"Fissidentaceae","Fissidens inaequalis","Mitt.",37
"Octoblepharaceae","Octoblepharum ampullaceum","Mitt.",37
"Gentianaceae","Chionanthus alatus","(Aubl.) Pulle",36
"Lecythidaceae","Pachylecythis pisonis","(Cambess.) O.M.Vargas & C.W.Dick",36
"Racopilaceae","Racopilum tomentosum","(Hedw.) Brid.",36
"Stereophyllaceae","Pilosium chlorophyllum","(Hornsch.) Müll. Hal.",36
"Plagiotheciaceae","Pilosium chlorophyllum","(Hornsch.) Müll.Hal.",36
"Polyporaceae","Microporellus obovatus","(Jungh.) Ryvarden",36
"Fomitopsidaceae","Fomitopsis nivosa","(M.J.Berkeley) Gilbertson & Ryvarden",36
"Cephaloziaceae","Odontoschisma denudatum","(Mart.) Dumort.",36
"Pilocarpaceae","Byssoloma tricholomum","(Mont.) Zahlbr.",36
"Hypnaceae","Vesicularia vesicularis","(Schwägr.) Broth.",36
"Phyllodrepaniaceae","Phyllodrepanium falcifolium","(Schwägr.) Crosby",36
"LEJEUNEACEAE","Lejeunea flava","(Sw.) Nees",36
"Burseraceae","Protium cornutum","Daly",36
"Sargassaceae","Sargassum hystrix","J.Agardh",36
"Udoteaceae","Halimeda incrassata","(Ellis) Lamouroux",35
"Meteoriaceae","Zelometeorium patulum","(Hedw.) Manuel",35
"Pteridophyta","Doryopteris pedata","(L.) Fée",35
"Lejeuneaceae","Acanthocoleus aberrans","(Lindenb. & Gottsche) Kruijt",35
"Hedwigiaceae","Rhacocarpus inermis","(Müll. Hal.) Broth.",35
"Pteridophyta","Hymenophyllum sericeum","(Sw.) Sw.",35
"Fissidentaceae","Fissidens submarginatus","Bruch",35
"Melastomataceae","Miconia scabra","DC.",35
"Trentepholiaceae","Cephaleuros mycoidea","Karst.",35
"Desmidiaceae","Cosmarium pachydermum","Lundell",35
"Calymperaceae","Syrrhopodon flexifolius","Mitt.",35
"Leucobryaceae","Leucobryum giganteum","Müll. Hal.",35
"Octoblepharaceae","Octoblepharum pellucidum","Müll. Hal.",35
"Fabaceae","Eperua glabrifolia","(Ducke) R.S. Cowan",34
"Dicranaceae","Leucobryum martianum","(Hornsch.) Hampe ex Müll. Hal.",34
"Polyporaceae","Fomes fastuosus","(Lév.) Cooke",34
"Cephaloziaceae","Odontoschisma variabile","(Lindenb. & Gottsche) Trevis.",34
"Sematophyllaceae","Trichosteleum guianae","(Müll. Hal.) Broth.",34
"Lecythidaceae","Chytroma poiteaui","(O.Berg) O.M.Vargas & C.W.Dick",34
"Melastomataceae","Cambessedesia fasciculata","(Spreng.) Fidanza & A.B.Martins",34
"Leptostromataceae","Desmidophorus concentricus","Bat. & Cavalc.",34
"Fissidentaceae","Fissidens elegans","Brid.",34
"Sphagnaceae","Sphagnum aongstroemii","C. Hartm.",34
"Asteraceae","Wedelia macrodonta","DC.",34
"Hypoxylaceae","Thamnomyces chordalis","Fr.",34
"Asterothecaceae","Tietea","H. Graf zu Solms-Laubach",34
"Halimedaceae","Halimeda gracilis","Harv.",34
"Marantaceae","Goeppertia","Nees",34
"Plagiochilaceae","Plagiochila montagnei","Nees",34
"Geastraceae","Geastrum lloydianum","Rick",34
"Thuidiaceae","Thuidium","Schimp.",34
"Marasmiaceae","Marasmius castellanoi","Singer",34
"Cephaloziaceae","Odontoschisma falcifolium","Steph.",34
"Sarcoscyphaceae","Cookeina tricholoma","(Mont.) Kuntze",33
"Callicostaceae","Pilotrichum evanescens","(Müll. Hal.) Crosby",33
"Plagiochilaceae","Plagiochila corrugata","(Nees) Nees & Mont.",33
"Lejeuneaceae","Archilejeunea parviflora","(Nees) Steph.",33
"Polyporaceae","Trametes elegans","(Spreng.:Fr.) Fr.",33
"Lejeuneaceae","Mastigolejeunea","(Spruce) Steph.",33
"Lejeuneaceae","Mastigolejeunea plicatiflora","(Spruce) Steph.",33
"Schizothyriaceae","Spegazziniella pogonophoreana","Bat. & I.H. Lima",33
"Dicranaceae","Holomitrium olfersianum","Hornsch.",33
"Leucobryaceae","Leucobryum crispum","Müll. Hal.",33
"Asterinaceae","Echidnodes microspora","(Chardón) Seaver & Chardón",32
"Caulerpaceae","Caulerpa racemosa","(Forsskal) J. Agardh",32
"Hymenochaetaceae","Hymenochaete luteobadia","(Fr.) Höhnel & Litschauer",32
"Brachytheciaceae","Meteoriopsis patula","(Hedw.) Broth.",32
"Callicostaceae","Brymela parkeriana","(Hook. & Grev.) W.R. Buck",32
"Polytrichaceae","Oligotrichum riedelianum","(Mont.) Mitt.",32
"DICTYOTACEAE","Dictyopteris plagiogramma","(Montagne) Vickers",32
"Polyporaceae","Polyporus tenuiculus","(P.Beauv.) Fr.",32
"Callicostaceae","Pilotrichum bipinnatum","(Schwägr.) Brid.",32
"Lycopodiaceae","Palhinhaea torta","(Sieber ex Underw. & F.E.Lloyd) Christenh.",32
"Plagiochilaceae","Plagiochila simplex","(Sw.) Lindenb.",32
"Lejeuneaceae","Bryopteris diffusa","(Sw.) Nees",32
"Dictyotaceae","Dictyopteris justii","J.V.Lamouroux",32
"Calymperaceae","Syrrhopodon elongatus var. glaziovii","(Hampe) W.D. Reese",31
"Callicostaceae","Hookeriopsis parkeriana","(Hook. & Grev.) A. Jaeger",31
"Pottiaceae","Hyophila involuta","(Hook.) A.Jaeger",31
