"name","NumRecords","NumOuro","NumPrata","NumBronze"
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BOA ESPERANÇA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA BOCA DA MATA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA CACHOEIRA DAS ANDORINHAS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA RIO VERMELHO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ECOLÓGICA SERRA DOURADA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA ITAPUÃ",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SANTA MÔNICA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SANTUÁRIO DE GABRIEL",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA SANTUÁRIO DE VIDA SILVESTRE POUSADA DAS ARARAS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO ALMAS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO CLARO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTA CLARA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DAS PEDRAS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO DE VIDA SILVESTRE FLOR DAS ÁGUAS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO ECOLÓGICO OLHOS D'ÁGUA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO BARTOLOMEU",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SEGREDO DA SERRA DOS PIRENEUS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SEGREDOS DO CERRADO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SIMPLICIDADE",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO ESTRELA DALVA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SOL E LUZ",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SOLUAR",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TERRA DE MARIA",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL TERRA DO SEGREDO",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DAS ARARAS",3,3,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DAS COPAÍBAS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DO PARANÃ",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VALE DOS SONHOS",0,0,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VARANDA DA SERRA",1,1,0,0
"RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VITA PARQUE",0,0,0,0
